publicationDocumentIdentifier,publicationDate,inventionTitle,abstractText
US20120009272A1,01-12-2012,Compositions and methods for creating an air release mechanism to maintain skin health,"A topical composition and method for the treatment of the symptoms of diaper rashes and skin irritations by creating an air circulating mechanism comprising a) bicarbonate of soda; b) corn starch; c) citric acid; d)a carrier oil; e) a pharmaceutically acceptable moisturizer; f) fragrance oil; and g) food grade coloring. The carrier oil is selected from the group consisting of almond oil, coconut oil, sunflower oil, apricot kernel oil, avocado oil, canola oil, evening primrose oil, grapeseed oil, hazelnut oil, jojoba oil, macadamia oil, olive oil, sesame oil, rosehip seed oil, and mixtures thereof. The pharmaceutically acceptable moisturizer is either purified water or witch hazel. In its preferred embodiments, the composition can result in a loose powder for application directly to the diapered skin, an effervescent bath tablet, and as an additive to the bodyfacing layer of a diaper."
US20120016684A1,01-19-2012,"Public health care, method and system","An embodiment of the invention offers no medical bill public health care to provide transparency of pricing and minimal prime cost of accounting by compensating in bulk a budget or an appropriate part of the budget of a medical organization by a medical bank which expenses are compensated by retailing financial obligations among clients of said bank supposed patients of PHC. Another embodiment of the invention is to get automation of medical accounting due to averaging financial streams in respect to a virtual average patient. Yet another embodiment is to get an automated medical budget comprising a total net of secured medical accounts to collect medical parts of tax payments, other medical contributions and debts and to be used either commercially or like a budgeted source."
US20120053437A1,03-01-2012,Monitored healthcare process for the treatment of specific health problems with medical foods and/or drugs,"A product and method for implementing and maintaining a “medical food” program for a patient having special nutrient needs in which a medical food is prescribed for said patient and for facilitating the required ongoing supervision of said patient and evaluation of the effectiveness of the prescription, the product comprising software permitting input of basic patient data, said method to include the input of basic patient information, the prescription and repeated input of physiological factors permitting review, supervision and evaluation of the effectiveness of the prescribed medical food."
US20120065514A1,03-15-2012,Cardiohealth Methods and Apparatus,"Methods and apparatus for improving measurements of cardiovascular health status in a given individual are provided. The comprehensive assessment of cardiovascular health includes at least two components: risk factor assessment based on epidemiologic studies and functional status of the individual. Structural studies of the individual can also be included in the comprehensive assessment of cardiovascular health. The invention aims to improve detection, treatment, devices, and administration of cardiovascular risk assessment."
US20120076769A1,03-29-2012,HERBAL COMPOSITION FOR CANCER TREATMENT,"A therapeutic herbal composition comprising Saw Palmetto, Bromelain, Willow Herb, Grape Seed Complex, Wild Rosella, Liquorice, Passionfruit Seed and Selenium Yeast is claimed. The composition may be used as a general health promotant but is also useful as a treatment of cancer and inflammation. Prostate cancer and hyperplasia may be particularly beneficially addressed with the composition. The invention extends to a method of treatment using a composition as described."
US20120088466A1,04-12-2012,Critical health information profile and emergency communication system,"A microprocessor-based emergency response communication system used to call and communicate with the 9-1-1 operator and also allows emergency responder's immediate access to a user's Critical Health Information Profile stored in the device at the point and location of crisis. The device is used to create individual Critical Health Information Profiles which is Health Level-7 compliant enabling it to seamlessly communicate with major hospital networks worldwide. This functional capability provides a system that can retrieve and transmit user-stored personal and health information by emergency responders at the point of care. The emergency responder can access the customer's Critical Health Information Profile database, review the data for pertinent information and then transmit that data to a designated receiving hospital or medical center. The device provides an electronic means of dialing and communicating directly with the 9-1-1 operator. A wireless remote transmitter unit can be activated from the wireless transmitter or the base unit to dial and connect with the 9-1-1 operator, broadcast a canned message with or without a personal-recorded message, and personally communicate with the 9-1-1 operator through a two-way speakerphone system. The device contains software enabling the user and medical personnel the ability to input, store, retrieve and analyze the user's vital sign data and other pertinent health information."
US20120095776A1,04-19-2012,Payments in providing assistance related to health,"In one aspect, a method related to health-related data management. In addition to the foregoing, other method and system and program product aspects are described in the claims, drawings, and text forming a part of the present application."
US20120109876A1,05-03-2012,Long-term global anonymous medical health records repository,"This invention provides a very large, long term, universal, and global repository of health records for knowledge preservation, statistical sample analysis, and querying, without personally identifiable patient information. Embodiments of this invention provide a computerized system consisting of a very large number—thousands to billions—of health records, with long-term medical history—spanning several years to several decades—, obtained from diverse health care providers, stored in read-only mode in a global repository, without accessible personally identifiable patient information, and with the corresponding means to query, correlate, trend, and analyze the data."
US20120116807A1,05-10-2012,"Apparatus, system, and method for comparing healthcare","Methods, systems, and apparatuses for comparing healthcare data are disclosed. Some embodiments of the method for comparing healthcare data may include receiving healthcare data for geographic regions. The healthcare data may include healthcare variables and clinical data. Some embodiments of the method may further include analyzing, with a processing device, one or more healthcare variables for geographic regions. In some embodiments of the method, analyzing the one or more healthcare variables may include assigning each geographic region to one of several clusters based on the one or more healthcare variables. Some embodiments of the method may further include analyzing, with a processing device, the clinical data for geographic regions. In some embodiments of the method, analyzing the clinical data may include determining a primary magnitude for each geographic region of a primary measure, determining a secondary magnitude for each geographic region of a secondary measure, and comparing them."
US20120135540A1,05-31-2012,Methods and compositions of nucleic acid ligands for detection of clinical analytes related to human health,"Specific DNA sequences for binding various clinically relevant analytes from the human body are described. Each of these sequences or their linear, two- and three-dimensional linked sequences can function in varying assay and sensor formats with varying degrees of success. Linkage of the whole or partial DNA sequences (putative binding sites) can be used to enhance specificity and affinity towards complex targets, thereby improving assay selectivity and sensitivity in many instances. In addition, a FRET-based quantitative method is described for normalizing analyte data by assessing urine creatinine and urea levels. Finally, a method is described for removing creatinine or urea by size-exclusion chromatography prior to a FRET-based aptamer assay to avoid the denaturing effects of these compounds."
US20120136221A1,05-31-2012,System and method for monitoring the health of a hospital patient,"A system for monitoring the health of a hospital patient. The system includes a score engine configured to identify the status of a patient's health using one or more measurements relating to the patient, and a list manager configured to identify a medical practitioner associated with the patient. The system is configured to send a message to the medical practitioner in dependence on the identified status of the patient's health. A corresponding method is also provided."
US20120164613A1,06-28-2012,Determining a demographic characteristic based on computational user-health testing of a user interaction with advertiser-specified content,"Methods, apparatuses, computer program products, devices and systems are described that carry out specifying at least one of a plurality of user-health test functions responsive to an interaction between a user and at least one advertiser-specified attribute; and transmitting at least one demographic characteristic of the user based on at least one output of the at least one of a plurality of user-health test functions."
US20120173258A1,07-05-2012,METHODS AND APPARATUS FOR QUALITY MANAGEMENT OF HEALTHCARE DATA,"Methods and apparatus for providing clinical decision support to a healthcare provider. Eligibility criteria and quality measure information for a plurality of performance-based programs is stored and shared quality measures across performance-based programs are identified. Provider and patient characteristics are compared to the stored eligibility criteria and quality measure information to determine which quality measures apply to which providers and patients of the providers. A healthcare provider is provided with a notification at the point of care indicating a recommended action that, when performed by the healthcare provider will satisfy a quality measure in compliance with one or more performance-based programs. Customized reports may be generated and transmitted to program sponsors of performance-based programs, based on formatting rules specified by the program sponsors."
US20120179482A1,07-12-2012,Computational systems and methods for health services planning and matching,Systems and methods are described relating to accepting user input relating to a plurality of health service option selection factors; presenting a plurality of choices for at least one of the health service option selection factors; and presenting at least one outcome output based on a selection of at least one of the plurality of choices for at least one of the health service option selection factors.
US20120184823A1,07-19-2012,Integrated health and entertainment management system for smart handheld device,"An integrated health and entertainment management system for a smart handheld device contains a game controlling unit, an external operating signal receiving module, a data analyzing module, a feedback signal generating module, an external apparatus controlling unit; and a controlling signal transmitting module. The system interfaces the smart handheld device with an external exercise apparatus so as to allow a user who uses the smart handheld device when operating the exercise apparatus to perform personal health and entertainment management."
US20120185273A1,07-19-2012,Electronic complete health information facilitator,"e-CHIF eliminates the inconsistency and duplication of Patient Records by centralizing the data in only one place, the e-CHIF database. Using a web based portal, a health provider initially adds the patient record. The patient owns the data and makes it available to subsequent health providers including physicists, dentists, psychiatrics, and alternative medicine practitioners who add additional data to the patient record. Therefore a patient or an authorized health provider can view the complete health history of a person including conventional and alternative medicine treatments. Additionally, the health provider using the e-CHIF web site has the capability to electronically submit an insurance claim, request a prescription to a pharmacy, or a test to a laboratory. To assist the patient, health providers, and medical research several statistical reports without personal identifiable information can be generated using the e-CHIF data."
US20120191475A1,07-26-2012,"Method and system for user centric, centralized access and management of healthcare related information, day today functions and administrative functions across multiple providers and entities in the healthcare eco-system","Software system that provides a user (such as an insurance holder) centric, user managed centralized system to enable user to manage his health and wellness community which includes multiple participants such as insurance providers, dependents covered under insurance, healthcare providers (such as physician practices and pharmacies), wellness partners, health and wellness devices and other entities such as Center for. Disease Control (CDC). The system allows a user to manage and analyze health and wellness related information, to perform analytics on health and wellness related information, to perform health and wellness related day today functions (such as schedule an appointment, request health record for child care facility), to access health and wellness related information from the participants in his health and wellness community and to maintain and manage an active relationship with healthcare providers, wellness participants and other entities in his health and wellness community electronically and securely from one place."
US20120197661A1,08-02-2012,Managing system for health care plan and managing method for the same,"A managing system for health care plan includes a server and a database connected to the server. The server hosts a website thereon, and the database stores disease data of at least one care recipient, and stores at least one health care plan template. When one of the disease data of the care recipient is selected on the website, the care provider selects one of the health care plan templates corresponding to the selected disease data, and applies the selected health care plan template to a dedicated calendar of the care recipient. Therefore, events of the health care plan template are then displayed on the calendar from a specific starting date."
US20120204318A1,08-16-2012,Personal apparel garment particularly for health conscious three-finger-glove hand cover prophylactics,"The design is a combination of left and/or right three-finger-gloves integrated with various attachment garments. The gloves help guard against unwanted hand contact with foreign surfaces while the attachment garment provides various utility and fashion functions. The size and shape of the hand covers are specifically designed to enable the wearer to easily slip into and remove. The glove design prevents moisture intrusion while providing a non-slip grip surface and the added dexterity of a three-finger hand cover. The preferred embodiment includes connecting the hand covers together by way of an over-the-shoulder strap garment worn on the outside of normal apparel. The materials used for construction can vary depending on user preference including cloth, leather, man-made fabrics, or bonded fibers such as paper or felt."
US20120205432A1,08-16-2012,SAFETY NET FOR BAR-CODED DOCUMENTS,"A method and system for generating and processing barcoded documents such that a safety net may be implemented to catch barcode errors. Barcodes may be generated for placement on the first and last page of documents. Each barcode may be associated with a document. During processing of barcoded documents, if a barcode is missing or misread, the safety net will catch the error and mark the affected pages for further review."
US20120207811A1,08-16-2012,"Textile material for management of skin health complications associated with skin folds, and its method of use",A device configured to manage skin health within a skin fold includes a textile material having an antimicrobial silver complex and a liquid translocation feature. The liquid translocation feature is characterized by a transportation of at least 1.0 gram of liquid moisture over at least a 12 cm length of the textile material such that the textile material is configured to concurrently treat moisture accumulation and intertrigo within the skin fold.
US20120233068A1,09-13-2012,METHODS AND APPARATUS FOR HEALTHCARE PAYMENT PROCESSING,"Methods and apparatus for facilitating a payment collection process by enabling a patient to pre-authorize payment for future medical services not covered by the patient's healthcare payer. Rather than sending a statement to a patient instructing the payment to remit an outstanding balance, a practice management system automatically applies electronic funds for the patient's outstanding balance in accordance with terms of a contract executed between the patient and the medical practice at the time of service. By including contract terms such as a predefined maximum charge amount and limited contract duration, patients may feel that their electronic account information is safe and that they will be billed only for what they owe. Additionally, medical practices may have better assurance that remittance for medical services will be paid promptly by patients under the terms of the contract."
US20120245957A1,09-27-2012,METHOD AND APPARATUS FOR PROVIDING ELECTRONIC AFTERCARE INSTRUCTIONS,"The apparatus and methods described provide aftercare instructions to a patient or patient caregiver (e.g., parent or guardian) upon releasing a patient from a hospital visit or other medical appointment. An electronic aftercare record may be created for a patient and used to track prescribed aftercare instructions that allows a medical practitioner to prescribe a targeted education plan to the patient/caregiver, and to deliver the targeted education electronically and instantaneously. In some aspects, aftercare instructions can be given following an acute illness or injury, or in anticipation of a problem or compliance at home."
US20120250004A1,10-04-2012,Methods for measuring and modeling the structural health of pressure vessels based on electronic distance measurements,"Methods are disclosed wherein the structural health of a civil structure, pressure vessel, or the like is measured by electronic distance measurement (EDM) from a plurality of stable locations to a plurality of cardinal points on the structure in a methodical manner. By measuring the coordinates of the cardinal points, the dynamic and long-term static behavior of the structure provide an indication of the health of the structure. Analyses includes: comparison to a Finite Element Model (FEM); comparison to historical data; and modeling based on linearity, hysteresis, symmetry, creep, damping coefficient, and harmonic analysis."
US20120251502A1,10-04-2012,Human Ebola Virus Species and Compositions and Methods Thereof,Compositions and methods including and related to the Ebola Bundibugyo virus (EboBun) are provided. Compositions are provided that are operable as immunogens to elicit and immune response or protection from EboBun challenge in a subject such as a primate. Inventive methods are directed to detection and treatment of EboBun infection.
US20120253868A1,10-04-2012,HEALTHCARE INFORMATION COMMUNICATION SYSTEM,"A healthcare information communication system is configured to facilitate scheduling of patient appointments without sending information to the medical practice indicating preferred appointment times. The system searches a current schedule for appointments at the medical practice for available timeslots to schedule an appointment. The current schedule is stored by a scheduling component of a practice management system. In response to receiving a selection of an available timeslot to schedule the appointment, the current schedule for appointments at the medical practice is updated in real-time without intervention from staff at the medical practice. An administrator at the medical practice may configure aspects of the scheduling component to customize appointment scheduling for one or more departments and/or providers at the medical practice. The system stores scheduling configuration information associating appointment types with schedule timeslots and the scheduling configuration information may be used in the determination of available timeslots when scheduling an appointment."
US20120265650A1,10-18-2012,Diet and Nutrition Planning System based on health needs,"A diet planning system is describes which assists a user to plan his/her diet plan according to the health needs. A user is provided to select a health status from a list of available health effects, a food group and food item list appear upon selection of the health status from which the user selects a plurality of food items. A food item rank calculator provides a priority score for the selected food item. The calculation basis of the priority score can be altered by user using a dial and accordingly make it depend totally upon the user's health needs or the overall nutrient content of the food item. The user is further provided an option to make a virtual plate, a smoothie or shop for the grocery online."
